iter	RMSE
0	0.7622038224
1	0.7543962364
2	0.7476604668
3	0.7410503452
4	0.7351638491
5	0.728887246
6	0.7229554168
7	0.7176514483
8	0.7122669685
9	0.7073670498
10	0.7033220137
11	0.699111899
12	0.6955437583
13	0.6914158548
14	0.6878201561
15	0.6851451934
16	0.6817997405
17	0.6781741841
18	0.6752055477
19	0.6728486079
20	0.6699934195
21	0.6666462218
22	0.6635650836
23	0.66120076
24	0.659195369
25	0.6574062445
26	0.6551725673
27	0.6523641317
28	0.6493626143
29	0.6478551176
30	0.645639078
31	0.6437741909
32	0.6421050111
33	0.6400338923
34	0.6384346879
35	0.6362436574
36	0.6344764939
37	0.6330041463
38	0.6311059365
39	0.6293410491
40	0.6279990611
41	0.626857385
42	0.6259795097
43	0.6236333224
44	0.6229474148
45	0.6221163675
46	0.6209799566
47	0.6194113062
48	0.618366545
49	0.617316768
50	0.6162884224
51	0.6150357323
52	0.6131861536
53	0.6121054247
54	0.6109992759
55	0.6098019326
56	0.6087927008
57	0.6076569689
58	0.6064818093
59	0.6054301524
60	0.6038229181
61	0.6030621683
62	0.6023122065
63	0.601621897
64	0.6006799503
65	0.5997160955
66	0.5982598646
67	0.5976167322
68	0.5968136956
69	0.5959281712
70	0.5947632357
71	0.5939616244
72	0.5929372452
73	0.5922805481
74	0.591635541
75	0.5905020381
76	0.5897400026
77	0.5892856915
78	0.5885974182
79	0.5877396164
80	0.5871741105
81	0.5863668938
82	0.5849585423
83	0.5844149886
84	0.5836752861
85	0.5832972337
86	0.5822575836
87	0.5814135719
88	0.5805893475
89	0.5800946031
90	0.5797860724
91	0.5789706518
92	0.5786282193
93	0.5782969706
94	0.5775910962
95	0.5767382698
96	0.5762416911
97	0.5753488914
98	0.5744662544
99	0.5739074685
100	0.5729108419
101	0.5721808423
102	0.5710512782
103	0.5706856668
104	0.5698470962
105	0.5689246199
106	0.568055312
107	0.5669238247
108	0.5663340794
109	0.5657619943
110	0.5650425767
111	0.564229476
112	0.5637921055
113	0.562729223
114	0.5622584867
115	0.5617893933
116	0.5613956641
117	0.5609291225
118	0.5606276698
119	0.5604725293
120	0.5598965839
121	0.5592944862
122	0.5588250614
123	0.5581214013
124	0.5575248242
125	0.5571160327
126	0.5565038774
127	0.5553960887
128	0.5551550382
129	0.5548209752
130	0.5542610109
131	0.5540959447
132	0.5528438603
133	0.5522681087
134	0.5515858351
135	0.5510259975
136	0.5503525709
137	0.5498900492
138	0.549073497
139	0.5483671166
140	0.5482002041
141	0.5475783931
142	0.5465207839
143	0.5463258363
144	0.545860206
145	0.5453618038
146	0.5449453247
147	0.5444457463
148	0.5435475063
149	0.5433713412
150	0.5427909855
151	0.5426359642
152	0.5425887513
153	0.5419583907
154	0.5415837174
155	0.5411834442
156	0.5409121865
157	0.5406556938
158	0.540179897
159	0.5397895516
160	0.5393292846
161	0.5388649282
162	0.53848895
163	0.5382761673
164	0.538040238
165	0.5379177084
166	0.5372167561
167	0.5367179877
168	0.535700309
169	0.5354674417
170	0.5353398848
171	0.5352208616
172	0.5347471026
173	0.5343524627
174	0.5333458256
175	0.5331579285
176	0.5330562087
177	0.5329020675
178	0.5328418673
179	0.5323603375
180	0.5323100566
181	0.531568331
182	0.5313760406
183	0.5313188458
184	0.5300876158
185	0.5300127434
186	0.5289148598
187	0.5288850165
188	0.5281076306
189	0.5280472814
190	0.5279839094
191	0.527550243
192	0.5272698069
193	0.5272145571
194	0.5260591205
195	0.5259768651
196	0.5247710616
197	0.5246902308
198	0.5246027532
199	0.5245620647
200	0.5244946115
201	0.5233390922
202	0.5221636319
203	0.5221220569
204	0.520981488
205	0.5198403244
206	0.5190761968
207	0.5190402223
208	0.5190018161
209	0.5185162185
210	0.5178986075
211	0.5170830555
212	0.5170512502
213	0.5161043282
214	0.5160685653
215	0.5150635488
216	0.5150025468
217	0.5147467389
218	0.5137609718
219	0.5137179419
220	0.512879716
221	0.511922347
222	0.5113026005
223	0.5105991218
224	0.510562539
225	0.5105378999
226	0.5101364946
227	0.5094189664
228	0.5081416514
229	0.5071604052
230	0.5066594694
231	0.5066200812
232	0.5065864261
233	0.5055991601
234	0.5044596199
235	0.503922009
236	0.5031618645
