iter	Passed	Remaining
0	102	20352
1	135	13383
2	167	10978
3	199	9769
4	232	9065
5	265	8568
6	296	8185
7	329	7909
8	361	7665
9	393	7467
10	425	7305
11	457	7166
12	488	7033
13	519	6904
14	551	6797
15	583	6707
16	615	6625
17	647	6543
18	679	6470
19	711	6406
20	743	6341
21	776	6280
22	808	6222
23	840	6164
24	872	6105
25	904	6050
26	935	5993
27	969	5953
28	1000	5900
29	1032	5848
30	1064	5802
31	1096	5755
32	1128	5711
33	1160	5665
34	1192	5623
35	1224	5577
36	1257	5538
37	1289	5497
38	1321	5453
39	1353	5415
40	1386	5376
41	1419	5339
42	1454	5309
43	1487	5273
44	1518	5231
45	1550	5189
46	1582	5152
47	1616	5118
48	1647	5078
49	1680	5040
50	1712	5002
51	1744	4965
52	1776	4926
53	1808	4890
54	1840	4852
55	1873	4817
56	1905	4779
57	1936	4740
58	1967	4702
59	2000	4667
60	2031	4629
61	2062	4591
62	2094	4555
63	2126	4518
64	2158	4482
65	2190	4447
66	2221	4409
67	2252	4373
68	2284	4337
69	2316	4302
70	2348	4266
71	2381	4233
72	2413	4198
73	2445	4163
74	2478	4131
75	2510	4096
76	2543	4062
77	2574	4027
78	2606	3992
79	2638	3957
80	2670	3923
81	2701	3887
82	2733	3853
83	2764	3818
84	2796	3783
85	2828	3749
86	2860	3715
87	2894	3683
88	2926	3649
89	2957	3615
90	2990	3581
91	3022	3547
92	3054	3513
93	3085	3479
94	3117	3445
95	3149	3412
96	3182	3378
97	3213	3345
98	3246	3311
99	3278	3278
100	3310	3245
101	3342	3211
102	3374	3178
103	3406	3144
104	3438	3110
105	3470	3077
106	3504	3045
107	3536	3012
108	3568	2979
109	3600	2945
110	3631	2911
111	3663	2878
112	3695	2845
113	3728	2812
114	3759	2779
115	3792	2745
116	3824	2712
117	3857	2680
118	3888	2646
119	3919	2612
120	3949	2578
121	3980	2544
122	4012	2511
123	4043	2478
124	4075	2445
125	4106	2411
126	4137	2378
127	4169	2345
128	4201	2312
129	4233	2279
130	4265	2246
131	4298	2214
132	4330	2181
133	4362	2148
134	4394	2115
135	4427	2083
136	4460	2050
137	4492	2018
138	4524	1985
139	4556	1952
140	4588	1919
141	4620	1887
142	4652	1854
143	4683	1821
144	4715	1788
145	4747	1755
146	4785	1725
147	4822	1694
148	4861	1664
149	4894	1631
150	4927	1598
151	4958	1565
152	4990	1533
153	5022	1500
154	5054	1467
155	5086	1434
156	5118	1401
157	5150	1369
158	5183	1336
159	5215	1303
160	5246	1270
161	5279	1238
162	5311	1205
163	5344	1173
164	5376	1140
165	5407	1107
166	5439	1074
167	5471	1042
168	5503	1009
169	5535	976
170	5567	944
171	5598	911
172	5631	878
173	5663	846
174	5694	813
175	5727	781
176	5759	748
177	5791	715
178	5824	683
179	5856	650
180	5888	618
181	5920	585
182	5952	552
183	5983	520
184	6016	487
185	6047	455
186	6079	422
187	6111	390
188	6142	357
189	6174	324
190	6207	292
191	6239	259
192	6271	227
193	6304	194
194	6337	162
195	6369	129
196	6401	97
197	6432	64
198	6463	32
199	6494	0
